ecodistrict,year,model,scenario,tmin,prcp,ivpd,itmin,iphoto
146,2097,RCM4,RCP85,-3.07698630136987,27.01,362.849363076923,125.814285714286,213.197777777778
146,2098,RCM4,RCP85,-3.02109589041096,21.15,362.078535384615,146.385714285714,213.197777777778
146,2099,RCM4,RCP85,-2.98986301369863,26.83,362.990713846154,133.542857142857,213.197777777778
146,2100,RCM4,RCP85,-3.14164383561644,27.75,364.307218461539,141.014285714286,213.197777777778
146,2000,GCM4,RCP85,-13.9232876712329,19.32,364.266969230769,74.2857142857143,213.197777777778
146,2001,GCM4,RCP85,-12.1830136986301,17.38,363.792710769231,87.3571428571428,213.197777777778
146,2002,GCM4,RCP85,-11.7967123287671,22.2,364.255298461539,81.0857142857143,213.197777777778
146,2003,GCM4,RCP85,-12.5191780821918,21.22,364.054243076923,82.1142857142857,213.197777777778
146,2004,GCM4,RCP85,-14.853698630137,15.84,363.687273846154,83.7,213.197777777778
146,2005,GCM4,RCP85,-12.1194520547945,26.05,364.8172,79.6857142857143,213.197777777778
146,2006,GCM4,RCP85,-10.8967123287671,15.67,364.033504615385,105.128571428571,213.197777777778
146,2007,GCM4,RCP85,-12.4805479452055,12.68,364.006575384615,91.8142857142857,213.197777777778
146,2008,GCM4,RCP85,-12.4756164383562,22.95,364.24568,84.5428571428571,213.197777777778
146,2009,GCM4,RCP85,-12.7468493150685,22.05,364.587203076923,84.0428571428572,213.197777777778
146,2010,GCM4,RCP85,-10.7778082191781,24.07,364.086796923077,97.6571428571428,213.197777777778
146,2090,GCM4,RCP85,-2.91698630136986,28.21,362.384196923077,149.942857142857,213.197777777778
146,2091,GCM4,RCP85,-4.24630136986301,36.93,363.81024,144.457142857143,213.197777777778
146,2092,GCM4,RCP85,-3.75068493150685,31.35,362.973729230769,126.614285714286,213.197777777778
146,2093,GCM4,RCP85,-3.5986301369863,23.87,364.243024615385,138.114285714286,213.197777777778
146,2094,GCM4,RCP85,-2.73643835616439,18.49,363.112886153846,130,213.197777777778
146,2095,GCM4,RCP85,-3.20931506849315,29.23,363.180996923077,132.1,213.197777777778
146,2096,GCM4,RCP85,-3.6841095890411,26.93,362.752953846154,136.585714285714,213.197777777778
146,2097,GCM4,RCP85,-3.17095890410959,24.62,363.794003076923,144.585714285714,213.197777777778
146,2098,GCM4,RCP85,-3.85123287671233,28.94,363.985006153846,131.2,213.197777777778
146,2099,GCM4,RCP85,-2.8813698630137,24,363.433461538462,154.4,213.197777777778
146,2100,GCM4,RCP85,-2.79013698630137,22.21,362.364796923077,145.314285714286,213.197777777778
146,2000,Hadley,RCP85,-13.9232876712329,19.32,364.266969230769,74.2857142857143,213.197777777778
146,2001,Hadley,RCP85,-12.1830136986301,17.38,363.792710769231,87.3571428571428,213.197777777778
146,2002,Hadley,RCP85,-11.7967123287671,22.2,364.255298461539,81.0857142857143,213.197777777778
146,2003,Hadley,RCP85,-12.5191780821918,21.22,364.054243076923,82.1142857142857,213.197777777778
146,2004,Hadley,RCP85,-14.853698630137,15.84,363.687273846154,83.7,213.197777777778
146,2005,Hadley,RCP85,-12.1194520547945,26.05,364.8172,79.6857142857143,213.197777777778
146,2006,Hadley,RCP85,-10.8967123287671,15.67,364.033504615385,105.128571428571,213.197777777778
146,2007,Hadley,RCP85,-12.4805479452055,12.63,364.006575384615,91.8142857142857,213.197777777778
146,2008,Hadley,RCP85,-12.4756164383562,22.95,364.24568,84.5428571428571,213.197777777778
146,2009,Hadley,RCP85,-12.7468493150685,22.05,364.587203076923,84.0428571428572,213.197777777778
146,2010,Hadley,RCP85,-10.7778082191781,24.07,364.086796923077,97.6571428571428,213.197777777778
146,2090,Hadley,RCP85,-1.95342465753424,34.26,363.349938461538,158.428571428571,213.197777777778
146,2091,Hadley,RCP85,-0.978904109589042,30.85,363.597135384615,172.885714285714,213.197777777778
146,2092,Hadley,RCP85,-1.68082191780822,32.98,363.624673846154,160.4,213.197777777778
146,2093,Hadley,RCP85,-1.1358904109589,26.03,363.940064615385,158.314285714286,213.197777777778
146,2094,Hadley,RCP85,0.286027397260275,21.01,363.30428,175.028571428571,213.197777777778
146,2095,Hadley,RCP85,-0.978356164383564,42.05,363.587772307692,162.271428571429,213.197777777778
146,2096,Hadley,RCP85,-2.41945205479452,45.32,363.780344615385,155.785714285714,213.197777777778
